Model,AUC,Rank,Feature,Importance,Cumulative,Method
SVM,0.8444783573806881,1,Prealbumin,0.3665547629023191,0.3665547629023191,Permutation
SVM,0.8444783573806881,2,Total protein,0.10002397937730304,0.46657874227962215,Permutation
SVM,0.8444783573806881,3,PLT,0.058929320783870996,0.5255080630634932,Permutation
SVM,0.8444783573806881,4,LDH,0.05853965589567643,0.5840477189591696,Permutation
SVM,0.8444783573806881,5,K,0.05371380612649888,0.6377615250856685,Permutation
SVM,0.8444783573806881,6,RBC,0.05209519812938345,0.689856723215052,Permutation
SVM,0.8444783573806881,7,Age,0.049397518134190896,0.7392542413492429,Permutation
SVM,0.8444783573806881,8,GR%,0.04118458125993841,0.7804388226091812,Permutation
SVM,0.8444783573806881,9,WBC,0.04022540615053651,0.8206642287597177,Permutation
SVM,0.8444783573806881,10,NLR,0.03998561237318611,0.8606498411329038,Permutation
SVM,0.8444783573806881,11,MONO,0.034979917270995635,0.8956297584038994,Permutation
SVM,0.8444783573806881,12,Alb,0.02023259996394343,0.9158623583678428,Permutation
SVM,0.8444783573806881,13,LC,0.016605719081518026,0.9324680774493608,Permutation
SVM,0.8444783573806881,14,PT,0.01594628619380435,0.9484143636431651,Permutation
SVM,0.8444783573806881,15,PCT,0.013578322642468688,0.9619926862856338,Permutation
Random Forest Optimized,0.8442008879023308,1,Prealbumin,0.13999127999775812,0.13999127999775812,Built-in
Random Forest Optimized,0.8442008879023308,2,Total protein,0.08567038426390268,0.2256616642616608,Built-in
Random Forest Optimized,0.8442008879023308,3,NLR,0.0830168114088507,0.3086784756705115,Built-in
Random Forest Optimized,0.8442008879023308,4,GR%,0.07443327888188048,0.383111754552392,Built-in
Random Forest Optimized,0.8442008879023308,5,LC,0.057360848347876685,0.4404726029002687,Built-in
Random Forest Optimized,0.8442008879023308,6,PCT,0.05202775045491173,0.4925003533551804,Built-in
Random Forest Optimized,0.8442008879023308,7,WBC,0.048611151460357216,0.5411115048155376,Built-in
Random Forest Optimized,0.8442008879023308,8,PLT,0.046643952051564894,0.5877554568671025,Built-in
Random Forest Optimized,0.8442008879023308,9,Alb,0.04213859419388542,0.629894051060988,Built-in
Random Forest Optimized,0.8442008879023308,10,MONO,0.04060868994246765,0.6705027410034556,Built-in
Random Forest Optimized,0.8442008879023308,11,MONO%,0.037650780259811396,0.708153521263267,Built-in
Random Forest Optimized,0.8442008879023308,12,PLR,0.03562830611507657,0.7437818273783436,Built-in
Random Forest Optimized,0.8442008879023308,13,PT,0.03547316253058765,0.7792549899089313,Built-in
Random Forest Optimized,0.8442008879023308,14,Urea,0.03510952507805779,0.814364514986989,Built-in
Random Forest Optimized,0.8442008879023308,15,K,0.03387351857425662,0.8482380335612456,Built-in
Random Forest,0.8423973362930077,1,Prealbumin,0.153810564105237,0.153810564105237,Built-in
Random Forest,0.8423973362930077,2,Total protein,0.08163914805561348,0.23544971216085048,Built-in
Random Forest,0.8423973362930077,3,NLR,0.07414571914521337,0.3095954313060638,Built-in
Random Forest,0.8423973362930077,4,LC,0.07376727237700619,0.38336270368307,Built-in
Random Forest,0.8423973362930077,5,GR%,0.07008368987551215,0.4534463935585822,Built-in
Random Forest,0.8423973362930077,6,PCT,0.05189244991225538,0.5053388434708376,Built-in
Random Forest,0.8423973362930077,7,WBC,0.04793968148783719,0.5532785249586748,Built-in
Random Forest,0.8423973362930077,8,Alb,0.04778100744394608,0.6010595324026209,Built-in
Random Forest,0.8423973362930077,9,PLT,0.04383679477099148,0.6448963271736123,Built-in
Random Forest,0.8423973362930077,10,MONO,0.043251922032321095,0.6881482492059334,Built-in
Random Forest,0.8423973362930077,11,Urea,0.03646993233248681,0.7246181815384203,Built-in
Random Forest,0.8423973362930077,12,MONO%,0.03547883087394183,0.7600970124123622,Built-in
Random Forest,0.8423973362930077,13,Age,0.03361486249752216,0.7937118749098844,Built-in
Random Forest,0.8423973362930077,14,PT,0.033204494487119846,0.8269163693970042,Built-in
Random Forest,0.8423973362930077,15,PLR,0.033136677968831435,0.8600530473658357,Built-in
Voting Soft,0.8417036625971144,1,Prealbumin,0.41773299747807296,0.41773299747807296,Permutation
Voting Soft,0.8417036625971144,2,GR%,0.12589420654820394,0.5436272040262768,Permutation
Voting Soft,0.8417036625971144,3,Total protein,0.10629722921837145,0.6499244332446483,Permutation
Voting Soft,0.8417036625971144,4,NLR,0.06664987405493161,0.7165743072995799,Permutation
Voting Soft,0.8417036625971144,5,WBC,0.034458438286903544,0.7510327455864835,Permutation
Voting Soft,0.8417036625971144,6,LDH,0.03360201511310636,0.7846347606995898,Permutation
Voting Soft,0.8417036625971144,7,MONO,0.03229219143553404,0.8169269521351239,Permutation
Voting Soft,0.8417036625971144,8,PLT,0.02604534005018817,0.842972292185312,Permutation
Voting Soft,0.8417036625971144,9,PCT,0.025843828715177923,0.8688161209004899,Permutation
Voting Soft,0.8417036625971144,10,Creatinine,0.025037783375132544,0.8938539042756224,Permutation
Voting Soft,0.8417036625971144,11,MONO%,0.024332493702594268,0.9181863979782167,Permutation
Voting Soft,0.8417036625971144,12,Urea,0.023224181360032153,0.9414105793382488,Permutation
Voting Soft,0.8417036625971144,13,Alb,0.017531486145968715,0.9589420654842175,Permutation
Voting Soft,0.8417036625971144,14,K,0.01521410579334069,0.9741561712775582,Permutation
Voting Soft,0.8417036625971144,15,RBC,0.007052896725389994,0.9812090680029482,Permutation
