Feature,Mean_Abs_SHAP,Rank
GR%,0.14728605500490916,1
Prealbumin,0.12864372918323894,2
MONO%,0.06868980021387194,3
Total protein,0.046774423761419964,4
PLT,0.0439105865355643,5
NLR,0.034787996180632684,6
LC,0.032320338976578857,7
Urea,0.026176615027023883,8
Age,0.015293965248544532,9
PT,0.012753744035375793,10
PLR,0.012019200363171514,11
Creatinine,0.009358827653208768,12
LDH,0.007406649039476811,13
Alb,0.005405223920811393,14
K,0.004670772516603869,15
MONO,0.003946085077501728,16
D_dimer,0.002420604872850374,17
RBC,0.0015373777670141117,18
PCT,0.000925760522237811,19
WBC,7.639162937182878e-06,20
