Feature,Mean_|SHAP|,Std_SHAP,Max_|SHAP|,Min_|SHAP|,Mean_SHAP,Median_SHAP,Pct_Positive,Rank,Contribution_%,Cumulative_%
GR%,0.14728605500490916,0.17469485414008198,0.4844342133338102,0.0020316602524493095,-0.0052063643656094305,0.030356451618334456,56.666666666666664,1,24.37,24.37
Prealbumin,0.12864372918323894,0.14927750979705987,0.3319154961044956,0.0029547460524008786,-0.00468590405029118,-0.003920027332683822,49.333333333333336,2,21.29,45.66
MONO%,0.06868980021387194,0.0877199860620617,0.2481351861118495,0.0005717374520685428,-0.0010014581770174317,0.005144603986314096,54.0,3,11.37,57.03
Total protein,0.046774423761419964,0.05746989977340566,0.15792955804792888,9.799297404711194e-05,-0.0011227275721753067,-0.007963806067848703,43.333333333333336,4,7.74,64.77
PLT,0.0439105865355643,0.055363337841125564,0.21404166440088068,0.00042672898667008626,-0.002810219724180434,-0.00030622506384350636,50.0,5,7.27,72.04
NLR,0.034787996180632684,0.04956417297898917,0.23215116750267759,0.00015670631842823005,-0.0025189071049818447,-0.020206502796785847,31.333333333333336,6,5.76,77.8
LC,0.032320338976578857,0.03974066028011519,0.14094740643348705,0.0005172465737232507,0.0015282954164316889,-0.0032868717807442802,48.0,7,5.35,83.15
Urea,0.026176615027023883,0.036089834031777616,0.19526304663459956,0.00026922524461107006,0.0017217898339444992,0.001764345001719408,52.0,8,4.33,87.48
Age,0.015293965248544532,0.01874750928077976,0.05732823830439737,0.000284535316362442,-0.00021948235253864184,-0.00437025158693554,38.666666666666664,9,2.53,90.01
PT,0.012753744035375793,0.0165483667268108,0.05965205248776587,0.00012522770788715858,0.00042704145593643825,-0.0010315285388173235,44.666666666666664,10,2.11,92.12
PLR,0.012019200363171514,0.01577137793085836,0.0664583647516691,2.0932292265768426e-06,0.0009509873208432688,0.005089854654254428,66.0,11,1.99,94.11
Creatinine,0.009358827653208768,0.011607733947508967,0.04185698223559667,1.6799627076368617e-05,-0.0003337496764592364,9.6021779004048e-05,50.66666666666667,12,1.55,95.66
LDH,0.007406649039476811,0.009492876885962289,0.03744222330009191,5.863460953233386e-06,0.0002767157604496778,0.001228930221661936,54.666666666666664,13,1.23,96.89
Alb,0.005405223920811393,0.007107230967985647,0.028324524868237767,9.370450745154607e-06,4.222784770765137e-05,-0.0009333045192303347,42.66666666666667,14,0.89,97.78
K,0.004670772516603869,0.005812240060380514,0.017734296070520003,0.0001945375458905314,0.0005556076112538745,0.001143083142910251,58.666666666666664,15,0.77,98.55
MONO,0.003946085077501728,0.00512236163630127,0.018017154020398603,3.0183648094094195e-05,-5.664163743170075e-05,0.0004440936888723789,54.0,16,0.65,99.2
D_dimer,0.002420604872850374,0.0032885611199549984,0.01329746493377035,8.440419355482988e-05,-0.0001847781193093354,0.0013150471124097106,68.66666666666667,17,0.4,99.6
RBC,0.0015373777670141117,0.001977225746466545,0.006653797280334312,1.8204203397363006e-05,0.00011745910714937741,0.00030068892961020307,56.00000000000001,18,0.25,99.85
PCT,0.000925760522237811,0.0019272075766172028,0.017632728179694402,2.7829466527434787e-05,-2.3055089704280864e-05,-0.0005390451379195871,14.666666666666666,19,0.15,100.0
WBC,7.639162937182878e-06,1.0323717948510122e-05,3.638811157071972e-05,9.845145521279279e-08,7.07928335722045e-07,-1.6622266625033674e-06,44.0,20,0.0,100.0
